Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MP725,462.725000,+,5.000000,DTCS,88.5,88.5,627,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
2,TMB575,462.575000,+,5.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
3,ADKHOW,462.700000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
4,CNR700,462.700000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
5,MAGO625,462.625000,+,5.000000,DTCS,88.5,88.5,132,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
6,CHAP650,462.650000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
7,MONT600,462.600000,+,5.000000,DTCS,88.5,88.5,516,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
8,CAR725,462.725000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
9,CS550,462.550000,+,5.000000,DTCS,88.5,88.5,172,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
10,BGTV575,462.575000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
11,SGRL550,462.550000,+,5.000000,DTCS,88.5,88.5,132,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
12,DKSN650,462.650000,+,5.000000,DTCS,88.5,88.5,743,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
13,CNLV675,462.675000,+,5.000000,DTCS,88.5,88.5,723,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
14,LUFK725,462.725000,+,5.000000,DTCS,88.5,88.5,365,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
15,LAGR725,462.725000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
16,RRCH725,462.725000,+,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
17,TRKR550,462.550000,+,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,S,8.0W,,,,,
